trait,latitude,longitude,state,county
A/bald_eagle/Massachusetts/24MM00089/2024|H5N1|USA-MA|2024-02-20|avian|C2.1,42.271389,-71.798889,USA-MA,Worcester
A/Red-Tailed_Hawk/Massachusetts/23NE01728/2024|H5N1|USA-MA|2024-03-15|avian|C2.1,42.35892,-71.05781,USA-MA,Suffolk
A/lesser_scaup/Massachusetts/24MM00032/2024|H5N1|USA-MA|2024-02-03|avian|C2.1,42.35892,-71.05781,USA-MA,Suffolk
A/Canada_Goose/Massachusetts/24HP00050/2024|H5N1|USA-MA|2024-02-20|avian|C2.1,42.49,-71.39,USA-MA,Middlesex
A/Canada_Goose/Massachusetts/24MM00070/2024|H5N1|USA-MA|2024-02-16|avian|C2.1,42.49,-71.39,USA-MA,Middlesex
A/great_horned_owl/Massachusetts/24MM00193/2024|H5N1|USA-MA|2024-03-17|avian|C2.1,42.49,-71.39,USA-MA,Middlesex
A/bald_eagle/Massachusetts/24MM00224/2024|H5N1|USA-MA|2024-03-27|avian|C2.1,42.49,-71.39,USA-MA,Middlesex
A/bald_eagle/Massachusetts/24MM00225/2024|H5N1|USA-MA|2024-03-27|avian|C2.1,42.49,-71.39,USA-MA,Middlesex
A/bald_eagle/Massachusetts/24MM00236/2024|H5N1|USA-MA|2024-03-27|avian|C2.1,42.49,-71.39,USA-MA,Middlesex
A/Canada_Goose/Massachusetts/23SN01946/2024|H5N1|USA-MA|2024-02-05|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/Massachusetts/23SN01947/2024|H5N1|USA-MA|2024-02-05|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/Massachusetts/23SN01965/2024|H5N1|USA-MA|2024-02-06|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/Massachusetts/23SN01966/2024|H5N1|USA-MA|2024-02-05|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/Massachusetts/23SN01967/2024|H5N1|USA-MA|2024-02-05|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/Massachusetts/23SN01978/2024|H5N1|USA-MA|2024-02-05|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/Massachusetts/23SN01987/2024|H5N1|USA-MA|2024-02-05|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/Massachusetts/23SN01988/2024|H5N1|USA-MA|2024-02-05|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/Massachusetts/23SN01997/2024|H5N1|USA-MA|2024-02-06|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/Massachusetts/23SN01998/2024|H5N1|USA-MA|2024-02-05|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/chicken/Massachusetts/24-003817-001-original/2024|H5N1|USA-MA|2024-02-02|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/MA/24-004865-005/2024|H5N1|USA-MA|2024-02-05|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/Massachusetts/24HP00005/2024|H5N1|USA-MA|2024-02-05|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/Massachusetts/24HP00007/2024|H5N1|USA-MA|2024-02-05|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/Massachusetts/24HP00009/2024|H5N1|USA-MA|2024-02-05|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/Massachusetts/24HP00018/2024|H5N1|USA-MA|2024-02-08|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/Massachusetts/24HP00022/2024|H5N1|USA-MA|2024-02-08|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/Massachusetts/24HP00031/2024|H5N1|USA-MA|2024-02-08|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/Massachusetts/24HP00033/2024|H5N1|USA-MA|2024-02-08|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/Massachusetts/24HP00036/2024|H5N1|USA-MA|2024-02-08|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/Massachusetts/24HP00037/2024|H5N1|USA-MA|2024-02-08|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/Massachusetts/24HP00038/2024|H5N1|USA-MA|2024-02-08|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/sanderling/Massachusetts/24HP00039/2024|H5N1|USA-MA|2024-02-12|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/sanderling/Massachusetts/24HP00040/2024|H5N1|USA-MA|2024-02-12|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/white-winged_scoter/Massachusetts/24HP00067/2024|H5N1|USA-MA|2024-02-23|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/white-winged_scoter/Massachusetts/24HP00069/2024|H5N1|USA-MA|2024-02-23|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/white-winged_scoter/Massachusetts/24HP00070/2024|H5N1|USA-MA|2024-02-23|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/white-winged_scoter/Massachusetts/24HP00073/2024|H5N1|USA-MA|2024-02-28|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/white-winged_scoter/Massachusetts/24HP00075/2024|H5N1|USA-MA|2024-02-26|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/white-winged_scoter/Massachusetts/24HP00076/2024|H5N1|USA-MA|2024-02-26|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/black_scoter/Massachusetts/24HP00081/2024|H5N1|USA-MA|2024-03-02|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/herring_gull/Massachusetts/24HP00083/2024|H5N1|USA-MA|2024-03-03|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/herring_gull/Massachusetts/24HP00084/2024|H5N1|USA-MA|2024-03-03|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/common_loon/Massachusetts/24HP00251/2024|H5N1|USA-MA|2024-03-07|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/common_loon/Massachusetts/24HP00252/2024|H5N1|USA-MA|2024-03-07|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/common_loon/Massachusetts/24HP00254/2024|H5N1|USA-MA|2024-03-07|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/common_loon/Massachusetts/24HP00255/2024|H5N1|USA-MA|2024-03-07|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/common_loon/Massachusetts/24HP00270/2024|H5N1|USA-MA|2024-03-11|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Scoter/Massachusetts/24HP00405/2024|H5N1|USA-MA|2024-04-12|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Scoter/Massachusetts/24HP00407/2024|H5N1|USA-MA|2024-04-12|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/white-winged_scoter/Massachusetts/24MM00090/2024|H5N1|USA-MA|2024-02-21|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/white-winged_scoter/Massachusetts/24MM00091/2024|H5N1|USA-MA|2024-02-21|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/white-winged_scoter/Massachusetts/24MM00106/2024|H5N1|USA-MA|2024-02-23|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/white-winged_scoter/Massachusetts/24MM00122/2024|H5N1|USA-MA|2024-02-27|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/white-winged_scoter/Massachusetts/24MM00123/2024|H5N1|USA-MA|2024-02-27|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/white-winged_scoter/Massachusetts/24MM00125/2024|H5N1|USA-MA|2024-02-26|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/white-winged_scoter/Massachusetts/24MM00169/2024|H5N1|USA-MA|2024-03-11|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/White-winged_Scoter/Massachusetts/24MM00170/2024|H5N1|USA-MA|2024-03-11|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/common_loon/Massachusetts/24MM00171/2024|H5N1|USA-MA|2024-03-11|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_goose/Massachusetts/23SN01904/2024|H5N1|USA-MA|2024-02-12|avian|C2.1,42.7542,-70.7975,USA-MA,Plum_Island
A/Canada_Goose/Massachusetts/23SN01943/2024|H5N1|USA-MA|2024-02-12|avian|C2.1,42.7542,-70.7975,USA-MA,Plum_Island
A/Canada_Goose/Massachusetts/23SN01954/2024|H5N1|USA-MA|2024-02-14|avian|C2.1,42.7542,-70.7975,USA-MA,Plum_Island
A/Canada_goose/Massachusetts/23SN01963/2024|H5N1|USA-MA|2024-02-14|avian|C2.1,42.7542,-70.7975,USA-MA,Plum_Island
A/Canada_goose/Massachusetts/23SN01964/2024|H5N1|USA-MA|2024-02-12|avian|C2.1,42.7542,-70.7975,USA-MA,Plum_Island
A/Canada_goose/Massachusetts/23SN01983/2024|H5N1|USA-MA|2024-02-14|avian|C2.1,42.7542,-70.7975,USA-MA,Plum_Island
A/Canada_goose/Massachusetts/23SN01984/2024|H5N1|USA-MA|2024-02-14|avian|C2.1,42.7542,-70.7975,USA-MA,Plum_Island
A/Canada_goose/Massachusetts/23SN01985/2024|H5N1|USA-MA|2024-02-10|avian|C2.1,42.7542,-70.7975,USA-MA,Plum_Island
A/Herring_gull/New_Hampshire/23NE01700/2024|H5N1|USA-NH|2024-02-27|avian|C2.1,42.99,-71.09,USA-NH,Rockingham
A/Herring_gull/NH/24-014129-001/2024|H5N1|USA-NH|2024-02-27|avian|C2.1,42.99,-71.09,USA-NH,Rockingham
A/green-winged_teal/New_York/23-033302-033-original/2023|H5N1|USA-NY|2023-10-21|avian|C2.1,43,-78.19,USA-NY,Genesee
A/chicken/New_York/24-005701-001-original/2024|H5N1|USA-NY|2024-02-22|avian|C2.1,43.01,-76.2,USA-NY,Onondaga
A/Great_Horned_Owl/New_Hampshire/23NE01620/2024|H5N1|USA-NH|2024-02-03|avian|C2.1,43.29,-71.03,USA-NH,Stafford
A/mallard/New_Hampshire/24-002162-001-original/2024|H5N1|USA-NH|2024-01-17|avian|C2.1,43.3,-71.68,USA-NH,Merrimack
A/mallard/New_Hampshire/24-004334-001-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,43.36,-72.22,USA-NH,Sullivan
A/mallard/New_Hampshire/24-004334-002-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,43.36,-72.22,USA-NH,Sullivan
A/mallard/New_Hampshire/24-004334-004-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,43.36,-72.22,USA-NH,Sullivan
A/mallard/New_Hampshire/24-004334-006-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,43.36,-72.22,USA-NH,Sullivan
A/mallard/New_Hampshire/24-004334-008-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,43.36,-72.22,USA-NH,Sullivan
A/mallard/New_Hampshire/24-004334-010-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,43.36,-72.22,USA-NH,Sullivan
A/mallard/New_Hampshire/24-004334-011-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,43.36,-72.22,USA-NH,Sullivan
A/mallard/New_Hampshire/24-004334-012-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,43.36,-72.22,USA-NH,Sullivan
A/mallard/New_Hampshire/24-004334-013-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,43.36,-72.22,USA-NH,Sullivan
A/mallard/New_Hampshire/24-004334-016-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,43.36,-72.22,USA-NH,Sullivan
A/mallard/New_Hampshire/24-004334-017-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,43.36,-72.22,USA-NH,Sullivan
A/mallard/New_Hampshire/24-004334-018-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,43.36,-72.22,USA-NH,Sullivan
A/mallard/New_Hampshire/24-004334-019-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,43.36,-72.22,USA-NH,Sullivan
A/mallard/New_Hampshire/24-004334-020-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,43.36,-72.22,USA-NH,Sullivan
A/mallard/New_Hampshire/24-004334-021-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,43.36,-72.22,USA-NH,Sullivan
A/mallard/New_Hampshire/24-004334-024-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,43.36,-72.22,USA-NH,Sullivan
A/mallard/New_Hampshire/24-004334-026-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,43.36,-72.22,USA-NH,Sullivan
A/mallard/New_Hampshire/24-004334-027-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,43.36,-72.22,USA-NH,Sullivan
A/mallard/New_Hampshire/24-004334-037-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,43.36,-72.22,USA-NH,Sullivan
A/mallard/New_Hampshire/24-004334-044/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,43.36,-72.22,USA-NH,Sullivan
A/American_crow/Maine/23NE01629/2024|H5N1|USA-ME|2024-01-30|avian|C2.1,43.41,-70.67,USA-ME,York
A/chicken/Maine/24-000724-001/2024|H5N1|USA-ME|2024-01-08|avian|C2.1,43.41,-70.67,USA-ME,York
A/chicken/Maine/24-000724-002/2024|H5N1|USA-ME|2024-01-08|avian|C2.1,43.41,-70.67,USA-ME,York
A/chicken/Maine/24-000724-003/2024|H5N1|USA-ME|2024-01-08|avian|C2.1,43.41,-70.67,USA-ME,York
A/turkey/Minnesota/24-012740-001-original/2024|H5N1|USA-MN|2024-04-29|avian|C2.1,44.03,-92.86,USA-MN,Dodge
A/turkey/Minnesota/24-012740-002-original/2024|H5N1|USA-MN|2024-04-29|avian|C2.1,44.03,-92.86,USA-MN,Dodge
A/chicken/Maine/24-007946-001/2024|H5N1|USA-ME|2024-03-13|avian|C2.1,44.03,-69.03,USA-ME,Knox
A/domestic_goose/Maine/24-007946-002-original/2024|H5N1|USA-ME|2024-03-13|avian|C2.1,44.03,-69.03,USA-ME,Knox
A/mallard/Maine/24-004329-015-original/2024|H5N1|USA-ME|2024-01-30|avian|C2.1,44.17,-70.21,USA-ME,Androscoggin
A/mallard/Maine/24-004329-016-original/2024|H5N1|USA-ME|2024-01-30|avian|C2.1,44.17,-70.21,USA-ME,Androscoggin
A/duck/Maine/24-004330-036/2024|H5N1|USA-ME|2024-01-31|avian|C2.1,44.17,-70.21,USA-ME,Androscoggin
A/mallard/Maine/24-004332-010-original/2024|H5N1|USA-ME|2024-02-02|avian|C2.1,44.17,-70.21,USA-ME,Androscoggin
A/chicken/Maine/24-002533-001-original/2024|H5N1|USA-ME|2024-01-23|avian|C2.1,44.41,-69.77,USA-ME,Kennebec
A/chicken/Maine/24-002533-002-original/2024|H5N1|USA-ME|2024-01-23|avian|C2.1,44.41,-69.77,USA-ME,Kennebec
A/chicken/Vermont/23-038532-001/2023|H5N1|USA-VT|2023-12-05|avian|C2.1,44.83,-72.25,USA-VT,Orleans
A/chicken/Vermont/23-038532-002/2023|H5N1|USA-VT|2023-12-05|avian|C2.1,44.83,-72.25,USA-VT,Orleans
